 11:19:11 	 -0.456262 	  -0.005054  
 11:20:11 	 -0.443161 	  -0.005054  
 11:21:11 	 -0.464063 	  -0.004944  
 11:22:11 	 -0.451758 	  -0.005164  
 11:23:11 	 -0.438437 	  -0.005164  
 11:24:11 	 -0.458679 	  -0.005273  
 11:25:11 	 -0.446457 	  -0.005164  
 11:26:11 	 -0.467468 	  -0.005054  
 11:27:11 	 -0.454395 	  -0.004944  
 11:28:11 	 -0.440744 	  -0.004834  
 11:29:11 	 -0.461316 	  -0.004834  
 11:30:11 	 -0.448874 	  -0.005164  
 11:31:11 	 -0.458130 	  -0.005164  
 11:32:11 	 -0.456702 	  -0.005273  
 11:33:11 	 -0.443710 	  -0.004944  
 11:34:11 	 -0.464612 	  -0.005164  
 11:35:11 	 -0.451538 	  -0.005054  
 11:36:11 	 -0.438107 	  -0.005273  
 11:37:11 	 -0.459229 	  -0.005164  
 11:38:11 	 -0.447226 	  -0.005164  
 11:39:11 	 -0.467908 	  -0.005054  
 11:40:11 	 -0.454285 	  -0.004944  
 11:41:11 	 -0.441074 	  -0.004944  
 11:42:11 	 -0.461755 	  -0.005164  
 11:43:11 	 -0.449863 	  -0.005054  
 11:44:11 	 -0.451208 	  -0.005164  
 11:45:11 	 -0.457031 	  -0.005164  
 11:46:11 	 -0.444260 	  -0.005164  
 11:47:11 	 -0.465271 	  -0.005054  
 11:48:11 	 -0.452747 	  -0.005164  
 11:49:11 	 -0.439206 	  -0.005383  
 11:50:11 	 -0.459668 	  -0.005273  
 11:51:11 	 -0.447885 	  -0.005383  
 11:52:11 	 -0.466150 	  -0.005164  
 11:53:11 	 -0.455493 	  -0.005054  
 11:54:11 	 -0.442282 	  -0.005273  
 11:55:11 	 -0.462524 	  -0.005054  
 11:56:11 	 -0.450439 	  -0.005164  
 11:57:11 	 -0.443381 	  -0.005273  
 11:58:11 	 -0.458020 	  -0.005164  
 11:59:11 	 -0.445798 	  -0.005273  
 12:00:11 	 -0.466260 	  -0.005164  
 12:01:11 	 -0.453625 	  -0.005164  
 12:02:11 	 -0.439975 	  -0.005054  
 12:03:11 	 -0.460547 	  -0.005054  
 12:04:11 	 -0.448764 	  -0.005054  
 12:05:11 	 -0.458130 	  -0.005164  
 12:06:11 	 -0.456372 	  -0.004944  
 12:07:11 	 -0.443161 	  -0.005164  
 12:08:11 	 -0.464282 	  -0.005164  
 12:09:11 	 -0.451648 	  -0.004834  
 12:10:11 	 -0.438327 	  -0.005273  
 12:11:11 	 -0.459009 	  -0.005273  
 12:12:11 	 -0.446786 	  -0.004834  
 12:13:11 	 -0.467798 	  -0.005054  
 12:14:11 	 -0.454944 	  -0.004944  
 12:15:11 	 -0.441623 	  -0.005164  
 12:16:11 	 -0.461865 	  -0.005164  
 12:17:11 	 -0.449643 	  -0.004944  
 12:18:11 	 -0.447226 	  -0.005164  
 12:19:11 	 -0.457581 	  -0.005164  
 12:20:11 	 -0.444919 	  -0.005054  
 12:21:11 	 -0.465820 	  -0.005164  
